"Data","Nazwa","ISIN","Waluta","Kurs otwarcia","Kurs max","Kurs min","Kurs zamknięcia","Zmiana","Wolumen","Liczba Transakcji","Obrót","Liczba otwartych pozycji","Wartość otwartych pozycji","Cena nominalna"
"2019-10-11","EVEREST","PLWDMCP00013","PLN","0.39","0.39","0.39","0.39","0","101","1","0.04","0","0","0"
"2019-10-11","FAMUR","PLFAMUR00012","PLN","3.435","3.5","3.425","3.5","1.45","205829","161","713.93","0","0","0"
"2019-10-11","FASING","PLFSING00010","PLN","14.2","15","14.2","14.5","0","1723","20","25.42","0","0","0"
"2019-10-11","FASTFIN","PLFSTFC00012","PLN","0","0","0","0.09","0","0","0","0","0","0","0"
"2019-10-11","FEERUM","PLFEERM00018","PLN","10.35","11.3","10.35","11.3","9.71","98","3","1.11","0","0","0"
"2019-10-11","FENGHUA","DE000A13SX89","PLN","0","0","0","17.5","0","0","0","0","0","0","0"
"2019-10-11","FERRO","PLFERRO00016","PLN","13.6","13.85","13.4","13.4","-0.74","1912","13","26.14","0","0","0"
"2019-10-11","FERRUM","PLFERUM00014","PLN","3.6","3.6","3.6","3.6","-0.28","2","2","0.01","0","0","0"
"2019-10-11","FMG","PLTHP0000011","PLN","11","11","11","11","4.76","113","2","1.24","0","0","0"
"2019-10-11","FON","EE3100145939","PLN","0","0","0","0.688","0","0","0","0","0","0","0"
"2019-10-11","FORTE","PLFORTE00012","PLN","22.8","23.9","22.8","23.85","4.61","3057","60","72.16","0","0","0"
"2019-10-11","GETBACK","PLGTBCK00297","PLN","0","0","0","3.75","0","0","0","0","0","0","0"
"2019-10-11","GETIN","PLGSPR000014","PLN","1.376","1.386","1.32","1.324","-3.78","804876","462","1078.99","0","0","0"
"2019-10-11","GETINOBLE","PLGETBK00012","PLN","0.314","0.314","0.31","0.31","-1.59","787658","87","244.98","0","0","0"
"2019-10-11","GLCOSMED","PLGLBLC00011","PLN","1.5","1.5","1.5","1.5","0","8","1","0.01","0","0","0"
"2019-10-11","GOBARTO","PLDUDA000016","PLN","6.3","6.3","6.3","6.3","2.27","500","2","3.15","0","0","0"
"2019-10-11","GPW","PLGPW0000017","PLN","37.2","37.65","36.8","37","0","33118","471","1231.68","0","0","0"
"2019-10-11","GROCLIN","PLINTGR00013","PLN","1.82","2.2","1.79","2.09","13.71","125389","163","255.25","0","0","0"
"2019-10-11","GRODNO","PLGRODN00015","PLN","4.29","4.4","4.29","4.38","2.1","8599","15","37.49","0","0","0"
"2019-10-11","GRUPAAZOTY","PLZATRM00012","PLN","30.5","32.64","30.2","30.6","1.26","156395","1236","4900.01","0","0","0"
"2019-10-11","GTC","PLGTC0000037","PLN","9.3","9.5","9.3","9.5","0.74","23993","75","227.73","0","0","0"
"2019-10-11","HANDLOWY","PLBH00000012","PLN","51.2","52.4","50.7","51.8","1.37","37645","374","1939.33","0","0","0"
"2019-10-11","HARPER","PLHRPHG00023","PLN","0.0998","0.0998","0.09","0.09","-9.82","58781","11","5.29","0","0","0"
"2019-10-11","HELIO","PLHELIO00014","PLN","11.3","11.3","10.6","10.6","-6.19","12","2","0.13","0","0","0"
"2019-10-11","HERKULES","PLZRWZW00012","PLN","1.14","1.14","1.14","1.14","0","5907","2","6.73","0","0","0"
"2019-10-11","HMINWEST","PLHMINW00016","PLN","0","0","0","14","0","0","0","0","0","0","0"
"2019-10-11","HOLLYWOOD","PLHOLWD00017","PLN","0","0","0","0.986","0","0","0","0","0","0","0"
"2019-10-11","HUBSTYLE","PLGRNKT00019","PLN","0","0","0","0.398","0","0","0","0","0","0","0"
"2019-10-11","HYDROTOR","PLHDRTR00013","PLN","32.2","32.2","31.4","31.4","0","13","3","0.41","0","0","0"
"2019-10-11","I2DEV","PLI2DVL00014","PLN","10","10","9.85","9.85","-2.48","1897","5","18.84","0","0","0"
"2019-10-11","IALBGR","PLADVPL00029","PLN","0.45","0.45","0.37","0.37","-26","79799","51","33.87","0","0","0"
"2019-10-11","IBSM","PLPLPGR00010","PLN","0","0","0","14.9","0","0","0","0","0","0","0"
"2019-10-11","IDEABANK","PLIDEAB00013","PLN","2.87","2.94","2.72","2.73","-4.55","193813","245","534.47","0","0","0"
"2019-10-11","IDEON","PLCNTZP00010","PLN","0","0","0","0.01","0","0","0","0","0","0","0"
"2019-10-11","IDMSA","PLIDMSA00044","PLN","1.25","1.35","1.25","1.25","-6.72","2863","9","3.71","0","0","0"
"2019-10-11","IFCAPITAL","EE3100143041","PLN","0","0","0","0.51","0","0","0","0","0","0","0"
"2019-10-11","IFIRMA","PLPWRMD00011","PLN","3.14","3.14","2.89","3.13","-1.26","21345","51","64.49","0","0","0"
"2019-10-11","IFSA","EE3100143033","PLN","0","0","0","0.214","0","0","0","0","0","0","0"
"2019-10-11","IIAAV","AT0000A21KS2","PLN","0","0","0","113.56","0","0","0","0","0","0","0"
"2019-10-11","IMCOMPANY","LU0607203980","PLN","14.5","14.5","14.45","14.45","-0.34","71","2","1.03","0","0","0"
"2019-10-11","IMMOBILE","PLMAKRM00019","PLN","3.14","3.45","2.96","3.45","9.87","7503","31","23.63","0","0","0"
"2019-10-11","IMPEL","PLIMPEL00011","PLN","6.7","6.8","6.6","6.75","0.75","1883","14","12.53","0","0","0"
"2019-10-11","IMPERA","PLNFI0700018","PLN","0.96","0.96","0.914","0.914","0","17","4","0.02","0","0","0"
"2019-10-11","IMPEXMET","PLIMPXM00019","PLN","0","0","0","4.22","0","0","0","0","0","0","0"
"2019-10-11","IMS","PLINTMS00019","PLN","3.64","3.64","3.6","3.64","0","3911","14","14.2","0","0","0"
"2019-10-11","INC","PLINCLT00015","PLN","2.14","2.3","1.94","2.08","-7.96","45786","88","93.51","0","0","0"
"2019-10-11","INDYGO","PLLSTIA00018","PLN","0","0","0","0.25","0","0","0","0","0","0","0"
"2019-10-11","INDYKPOL","PLINDKP00013","PLN","64","64.5","64","64.5","0.78","20","3","1.28","0","0","0"
"2019-10-11","INGBSK","PLBSK0000017","PLN","195.4","200","195.2","199.6","1.84","3714","158","737.32","0","0","0"
"2019-10-11","INPRO","PLINPRO00015","PLN","4.9","4.9","4.9","4.9","7.46","2","1","0.01","0","0","0"
"2019-10-11","INSTALKRK","PLINSTK00013","PLN","15.9","15.95","15.9","15.95","-1.54","600","2","9.55","0","0","0"
"2019-10-11","INTERAOLT","LT0000128621","PLN","13.5","13.5","13.3","13.5","0","731","11","9.84","0","0","0"
"2019-10-11","INTERBUD","PLINTBD00014","PLN","0.4","0.4","0.4","0.4","-12.28","385","2","0.15","0","0","0"
"2019-10-11","INTERCARS","PLINTCS00010","PLN","198","202","193","196.5","0.26","2381","104","467.85","0","0","0"
"2019-10-11","INTERFERI","PLINTFR00023","PLN","0","0","0","4","0","0","0","0","0","0","0"
"2019-10-11","INTERSPPL","PLINTSP00038","PLN","1.81","1.83","1.71","1.75","1.16","21055","11","36.42","0","0","0"
"2019-10-11","INTROL","PLINTRL00013","PLN","0","0","0","2.62","0","0","0","0","0","0","0"
"2019-10-11","INVISTA","PLECMNG00019","PLN","0.45","0.45","0.45","0.45","-11.76","16700","1","7.52","0","0","0"
"2019-10-11","IPOPEMA","PLIPOPM00011","PLN","1.53","1.53","1.53","1.53","0.33","10","1","0.02","0","0","0"
"2019-10-11","IQP","PLIQPRT00017","PLN","0","0","0","0.26","0","0","0","0","0","0","0"
"2019-10-11","ITMTRADE","PLBRIJU00010","PLN","2.16","2.16","2.02","2.02","1","3141","7","6.48","0","0","0"
"2019-10-11","IZOBLOK","PLIZBLK00010","PLN","26.8","26.8","26.8","26.8","-0.37","372","1","9.97","0","0","0"
"2019-10-11","IZOLACJA","PLIZCJR00017","PLN","1.53","1.53","1.53","1.53","0","2","1","0","0","0","0"
"2019-10-11","IZOSTAL","PLIZSTL00015","PLN","2.72","2.73","2.64","2.67","-1.84","7077","31","18.94","0","0","0"
"2019-10-11","JHMDEV","PLJHMDL00018","PLN","1.6","1.6","1.59","1.59","0","6502","7","10.34","0","0","0"
"2019-10-11","JJAUTO","DE000A1TNS70","PLN","0","0","0","9.7","0","0","0","0","0","0","0"
"2019-10-11","JSW","PLJSW0000015","PLN","21.86","23.88","21.6","23.4","10.17","2066251","10154","47292.22","0","0","0"
"2019-10-11","JWCONSTR","PLJWC0000019","PLN","2.85","2.88","2.83","2.88","-0.69","8805","15","25.06","0","0","0"
"2019-10-11","JWWINVEST","PLJWWNT00018","PLN","1.38","1.38","1.38","1.38","2.22","10","1","0.01","0","0","0"
"2019-10-11","K2INTERNT","PLK2ITR00010","PLN","8.9","8.9","8.8","8.8","0.57","1105","3","9.72","0","0","0"
"2019-10-11","KANIA","PLIZNS000022","PLN","0","0","0","0.106","0","0","0","0","0","0","0"
"2019-10-11","KBDOM","PLTRAST00020","PLN","0.57","0.57","0.57","0.57","-1.72","2","1","0","0","0","0"
"2019-10-11","KCI","PLPONAR00012","PLN","0.429","0.429","0.429","0.429","5.67","1277","4","0.55","0","0","0"
"2019-10-11","KDMSHIPNG","CY0102492119","PLN","0","0","0","1.4","0","0","0","0","0","0","0"
"2019-10-11","KERNEL","LU0327357389","PLN","42","42.45","41.35","41.55","-1.07","55359","269","2324.39","0","0","0"
"2019-10-11","KETY","PLKETY000011","PLN","283","285","280","283.5","1.25","2192","177","619.39","0","0","0"
"2019-10-11","KGHM","PLKGHM000017","PLN","78.3","80.1","78.22","79.92","2.86","554611","3616","44047.73","0","0","0"
"2019-10-11","KGL","PLKRKGL00012","PLN","13.6","13.6","13.55","13.55","0","94","2","1.27","0","0","0"
"2019-10-11","KINOPOL","PLKNOPL00014","PLN","10.4","10.4","10.3","10.4","0","3761","17","38.74","0","0","0"
"2019-10-11","KOGENERA","PLKGNRC00015","PLN","32.5","33.4","32.3","33.4","2.77","315","10","10.26","0","0","0"
"2019-10-11","KOMPAP","PLKOMPP00017","PLN","0","0","0","6.35","0","0","0","0","0","0","0"
"2019-10-11","KOMPUTRON","PLKMPTR00012","PLN","2.75","2.87","2.75","2.87","5.51","9290","17","26","0","0","0"
"2019-10-11","KONSSTALI","PLKCSTL00010","PLN","25.9","25.9","25.9","25.9","0","1","1","0.03","0","0","0"
"2019-10-11","KPPD","PLKPPD000017","PLN","0","0","0","22.8","0","0","0","0","0","0","0"
"2019-10-11","KRAKCHEM","PLKRKCH00019","PLN","0.438","0.438","0.434","0.434","5.85","2837","5","1.24","0","0","0"
"2019-10-11","KREC","PLKRNRC00012","PLN","4.65","4.65","4.51","4.51","-3.84","295","2","1.33","0","0","0"
"2019-10-11","KREDYTIN","PLKRINK00014","PLN","7.55","7.55","7.55","7.55","-3.21","255","1","1.93","0","0","0"
"2019-10-11","KREZUS","PLNFI0200019","PLN","0","0","0","0.56","0","0","0","0","0","0","0"
"2019-10-11","KRKA","SI0031102120","PLN","278","278","278","278","0","7","1","1.95","0","0","0"
"2019-10-11","KRUK","PLKRK0000010","PLN","130","130","127.5","129","0","42122","1220","5408.48","0","0","0"
"2019-10-11","KRUSZWICA","PLKRUSZ00016","PLN","42.4","43.8","42.4","43.7","0.23","592","12","25.48","0","0","0"
"2019-10-11","KRVITAMIN","PLKRVTM00010","PLN","4.29","4.39","4.29","4.38","-0.23","400","22","1.75","0","0","0"
"2019-10-11","KSGAGRO","LU0611262873","PLN","1","1","1","1","0","3000","1","3","0","0","0"
